command,label,source
mv -f,safe,synthetic
find | grep -i success,safe,synthetic
head -a,safe,synthetic
df | grep -i success,safe,synthetic
tcpdump -i eth0 -c 20 -n,safe,bash-history
apt-cache search python3,safe,synthetic
chmod 755 script.sh,safe,bash-history
echo 'working' && sed,safe,synthetic
find -l,safe,synthetic
zip | grep -i error,safe,synthetic
mkdir --all,safe,synthetic
git status,safe,bash-history
journalctl /tmp,safe,synthetic
find data/,safe,synthetic
mv --all,safe,synthetic
df -hT,safe,bash-history
head --verbose,safe,synthetic
mkdir -a,safe,synthetic
finger,safe,bash-history
cpuinfo=$(grep 'model name' /proc/cpuinfo | head -1),safe,bash-history
source .venv/bin/activate,safe,bash-history
awk | grep -i ok,safe,synthetic
mv | grep -i ok,safe,synthetic
cd ..,safe,bash-history
hdparm -I /dev/sda,safe,bash-history
docker --help,safe,synthetic
uptime,safe,bash-history
sudo apt autoremove,safe,synthetic
tar ..,safe,synthetic
git diff HEAD~1,safe,bash-history
git checkout -b feature/login,safe,bash-history
tar -czvf archive.tar.gz folder/,safe,bash-history
sudo tar,safe,synthetic
apt-get purge -y old-service,safe,bash-history
df -a,safe,synthetic
pip -l,safe,synthetic
zip /srv/www,safe,synthetic
systemctl -f,safe,synthetic
systemctl --help,safe,synthetic
echo 'working' && zip,safe,synthetic
grep --all,safe,synthetic
netstat -tulpn,safe,bash-history
df | grep -i fail,safe,synthetic
ls | grep -i success,safe,synthetic
find build/,safe,synthetic
mv | grep -i warn,safe,synthetic
echo 'working' && cat,safe,synthetic
sudo ls,safe,synthetic
file /bin/bash,safe,bash-history
du -h --max-depth=1,safe,bash-history
cp file.txt backup.txt,safe,bash-history
touch file.txt,safe,bash-history
time sed,safe,synthetic
mkdir project,safe,bash-history
docker | grep -i success,safe,synthetic
sudo systemctl restart docker,safe,bash-history
git add .,safe,bash-history
grep | grep -i warn,safe,synthetic
echo 'working' && awk,safe,synthetic
grep -f,safe,synthetic
sudo apt install htop,safe,bash-history
time ls,safe,synthetic
apt --verbose,safe,synthetic
mkdir data/,safe,synthetic
mkdir --verbose,safe,synthetic
systemctl unmask NetworkManager,safe,bash-history
gpg --verify file.tar.gz.sig file.tar.gz,safe,bash-history
awk ..,safe,synthetic
df ~/.config,safe,synthetic
kubectl rollout status deployment/api,safe,bash-history
zip build/,safe,synthetic
docker logs app,safe,bash-history
echo 'working' && mkdir,safe,synthetic
cat -l,safe,synthetic
docker ps,safe,bash-history
head /tmp,safe,synthetic
systemctl --all,safe,synthetic
systemctl src/,safe,synthetic
"find . -name ""*.py""",safe,bash-history
tail -n 100 /var/log/auth.log,safe,bash-history
systemctl stop apache2,safe,synthetic
systemctl enable docker,safe,synthetic
systemctl restart ssh,safe,synthetic
"echo ""hello world""",safe,bash-history
python3 -m http.server 8000,safe,bash-history
gcc file.c -o file,safe,bash-history
make install,safe,bash-history
yarn install,safe,bash-history
node app.js,safe,bash-history
systemctl is-active nginx,safe,synthetic
docker build -t app .,safe,bash-history
code .,safe,bash-history
vim file.txt,safe,bash-history
nano file.txt,safe,bash-history
netstat -tulnp,safe,bash-history
scp file.txt user@host:/tmp/,safe,bash-history
ssh user@host,safe,bash-history
wget https://example.com/file.txt,safe,bash-history
curl https://api.github.com,safe,bash-history
unzip file.zip,safe,bash-history
docker-compose up -d,safe,bash-history
"grep -r ""TODO"" .",safe,bash-history
apt upgrade -y,safe,synthetic
chmod +x script.sh,safe,bash-history
less /var/log/syslog,safe,bash-history
export PATH=$PATH:/usr/local/bin,safe,bash-history
alias ll='ls -la',safe,bash-history
kill 1234,safe,bash-history
ps -ef | grep python,safe,bash-history
du -sh *,safe,bash-history
git branch -a,safe,bash-history
"python3 -c ""print('hello')""",safe,bash-history
deactivate,safe,bash-history
chown user:user file.txt,safe,bash-history
source venv/bin/activate,safe,bash-history
python3 script.py,safe,bash-history
pip uninstall requests -y,safe,bash-history
pip freeze > requirements.txt,safe,bash-history
git tag v1.0.0,safe,bash-history
git merge feature-branch,safe,bash-history
git fetch --all,safe,bash-history
git clone https://github.com/example/repo.git,safe,bash-history
mv old.txt new.txt,safe,bash-history
rm file.txt,safe,bash-history
python3 -m venv venv,safe,bash-history
sudo nmap -sP 192.168.1.0/24,safe,bash-history
